a,w,t,label
-0.6,0.9,1.68,1
-0.6,1,1.679,1
-0.6,1.1,1.678,1
-0.6,1.2,1.676,1
-0.6,1.3,1.672,1
-0.6,1.4,1.659,1
-0.6,1.5,1.576,1
-0.6,1.6,1.48,1
-0.6,1.7,1.395,1
-0.6,1.8,1.318,1
-0.6,1.9,1.249,1
-0.6,2,1.188,1
-0.5,-2,1.963,1
-0.5,-1.9,0.423,1
-0.5,-1.8,0.446,1
-0.5,-1.7,0.472,1
-0.5,-1.6,0.501,1
-0.5,-1.5,0.534,1
-0.5,-1.4,0.571,1
-0.5,-1.3,0.614,1
-0.5,-1.2,0.665,1
-0.5,-1.1,0.724,1
-0.5,-1,0.795,1
-0.5,-0.9,0.882,1
-0.5,-0.8,0.991,1
-0.5,-0.7,1.131,1
-0.5,-0.6,1.317,1
-0.5,-0.5,1.576,1
-0.5,-0.4,1.94,1
-0.5,-0.3,0,0
-0.5,-0.2,0,0
-0.5,-0.1,0,0
-0.5,0,0,0
-0.5,0.1,0,0
-0.5,0.2,0,0
-0.5,0.3,0,0
-0.5,0.4,0,0
-0.5,0.5,0,0
-0.5,0.6,0,0
-0.5,0.7,0,0
-0.5,0.8,0,0
-0.5,0.9,0,0
-0.5,1,0,0
-0.5,1.1,0,0
-0.5,1.2,1.958,1
-0.5,1.3,1.818,1
-0.5,1.4,1.691,1
-0.5,1.5,1.579,1
-0.5,1.6,1.482,1
-0.5,1.7,1.396,1
-0.5,1.8,1.319,1
-0.5,1.9,1.251,1
-0.5,2,1.189,1
-0.4,-2,1.973,1
-0.4,-1.9,0.423,1
-0.4,-1.8,0.446,1
-0.4,-1.7,0.472,1
-0.4,-1.6,0,0
-0.4,-1.5,0.533,1
-0.4,-1.4,0.571,1
-0.4,-1.3,0.614,1
-0.4,-1.2,0.664,1
-0.4,-1.1,0.724,1
-0.4,-1,0.795,1
-0.4,-0.9,0.882,1
-0.4,-0.8,0.991,1
-0.4,-0.7,1.131,1
-0.4,-0.6,1.318,1
-0.4,-0.5,1.579,1
-0.4,-0.4,1.969,1
-0.4,-0.3,0,0
-0.4,-0.2,0,0
-0.4,-0.1,0,0
-0.4,0,0,0
-0.4,0.1,0,0
-0.4,0.2,0,0
-0.4,0.3,0,0
-0.4,0.4,0,0
-0.4,0.5,0,0
-0.4,0.6,0,0
-0.4,0.7,0,0
-0.4,0.8,0,0
-0.4,0.9,0,0
-0.4,1,0,0
-0.4,1.1,0,0
-0.4,1.2,1.971,1
-0.4,1.3,1.821,1
-0.4,1.4,1.692,1
-0.4,1.5,1.582,1
-0.4,1.6,1.483,1
-0.4,1.7,1.396,1
-0.4,1.8,1.319,1
-0.4,1.9,1.25,1
-0.4,2,1.188,1
-0.3,-2,1.974,1
-0.3,-1.9,0.423,1
-0.3,-1.8,0.446,1
-0.3,-1.7,0,0
-0.3,-1.6,0,0
-0.3,-1.5,0.533,1
-0.3,-1.4,0,0
-0.3,-1.3,0.614,1
-0.3,-1.2,0.664,1
-0.3,-1.1,0.724,1
-0.3,-1,0.795,1
-0.3,-0.9,0.882,1
-0.3,-0.8,0.99,1
-0.3,-0.7,1.131,1
-0.3,-0.6,1.319,1
-0.3,-0.5,1.58,1
-0.3,-0.4,1.971,1
-0.3,-0.3,0,0
-0.3,-0.2,0,0
-0.3,-0.1,0,0
-0.3,0,0,0
-0.3,0.1,0,0
-0.3,0.2,0,0
-0.3,0.3,0,0
-0.3,0.4,0,0
-0.3,0.5,0,0
-0.3,0.6,0,0
-0.3,0.7,0,0
-0.3,0.8,0,0
-0.3,0.9,0,0
-0.3,1,0,0
-0.3,1.1,0,0
-0.3,1.2,1.973,1
-0.3,1.3,1.822,1
-0.3,1.4,1.693,1
-0.3,1.5,1.581,1
-0.3,1.6,1.482,1
-0.3,1.7,1.396,1
-0.3,1.8,1.319,1
-0.3,1.9,1.25,1
-0.3,2,1.188,1
-0.2,-2,1.974,1
-0.2,-1.9,0.423,1
-0.2,-1.8,0.446,1
-0.2,-1.7,0,0
-0.2,-1.6,0,0
-0.2,-1.5,0.533,1
-0.2,-1.4,0,0
-0.2,-1.3,0,0
-0.2,-1.2,0.664,1
-0.2,-1.1,0.724,1
-0.2,-1,0.795,1
-0.2,-0.9,0.882,1
-0.2,-0.8,0.991,1
-0.2,-0.7,1.131,1
-0.2,-0.6,1.319,1
-0.2,-0.5,1.58,1
-0.2,-0.4,1.973,1
-0.2,-0.3,0,0
-0.2,-0.2,0,0
-0.2,-0.1,0,0
-0.2,0,0,0
-0.2,0.1,0,0
-0.2,0.2,0,0
-0.2,0.3,0,0
-0.2,0.4,0,0
-0.2,0.5,0,0
-0.2,0.6,0,0
-0.2,0.7,0,0
-0.2,0.8,0,0
-0.2,0.9,0,0
-0.2,1,0,0
-0.2,1.1,0,0
-0.2,1.2,1.973,1
-0.2,1.3,1.822,1
-0.2,1.4,1.693,1
-0.2,1.5,1.58,1
-0.2,1.6,1.482,1
-0.2,1.7,1.396,1
-0.2,1.8,1.319,1
-0.2,1.9,1.25,1
-0.2,2,1.188,1
-0.1,-2,0,0
-0.1,-1.9,0.423,1
-0.1,-1.8,0.446,1
-0.1,-1.7,0,0
-0.1,-1.6,0,0
-0.1,-1.5,0.533,1
-0.1,-1.4,0,0
-0.1,-1.3,0,0
-0.1,-1.2,0.664,1
-0.1,-1.1,0.724,1
-0.1,-1,0.795,1
-0.1,-0.9,0.883,1
-0.1,-0.8,0.992,1
-0.1,-0.7,1.132,1
-0.1,-0.6,1.319,1
-0.1,-0.5,1.58,1
-0.1,-0.4,1.972,1
-0.1,-0.3,0,0
-0.1,-0.2,0,0
-0.1,-0.1,0,0
-0.1,0,0,0
-0.1,0.1,0,0
-0.1,0.2,0,0
-0.1,0.3,0,0
-0.1,0.4,0,0
-0.1,0.5,0,0
-0.1,0.6,0,0
-0.1,0.7,0,0
-0.1,0.8,0,0
-0.1,0.9,0,0
-0.1,1,0,0
-0.1,1.1,0,0
-0.1,1.2,1.973,1
-0.1,1.3,1.822,1
-0.1,1.4,0,0
-0.1,1.5,1.58,1
-0.1,1.6,1.482,1
-0.1,1.7,0,0
-0.1,1.8,0,0
-0.1,1.9,1.25,1
-0.1,2,1.188,1
0,-2,1.973,1
0,-1.9,0.423,1
0,-1.8,0.446,1
0,-1.7,0,0
0,-1.6,0,0
0,-1.5,0.533,1
0,-1.4,0,0
0,-1.3,0,0
0,-1.2,0.664,1
0,-1.1,0.724,1
0,-1,0.795,1
0,-0.9,0.883,1
0,-0.8,0.992,1
0,-0.7,1.132,1
0,-0.6,1.319,1
0,-0.5,1.58,1
0,-0.4,1.972,1
0,-0.3,0,0
0,-0.2,0,0
0,-0.1,0,0
0,0,0,0
0,0.1,0,0
0,0.2,0,0
0,0.3,0,0
0,0.4,0,0
0,0.5,0,0
0,0.6,0,0
0,0.7,0,0
0,0.8,0,0
0,0.9,0,0
0,1,0,0
0,1.1,0,0
0,1.2,1.973,1
0,1.3,1.822,1
0,1.4,0,0
0,1.5,1.58,1
0,1.6,1.482,1
0,1.7,0,0
0,1.8,0,0
0,1.9,1.25,1
0,2,1.188,1
0.1,-2,0,0
0.1,-1.9,0.423,1
0.1,-1.8,0.446,1
0.1,-1.7,0,0
0.1,-1.6,0,0
0.1,-1.5,0.533,1
0.1,-1.4,0,0
0.1,-1.3,0,0
0.1,-1.2,0.664,1
0.1,-1.1,0.724,1
0.1,-1,0.795,1
0.1,-0.9,0.883,1
0.1,-0.8,0.993,1
0.1,-0.7,1.133,1
0.1,-0.6,1.319,1
0.1,-0.5,1.58,1
0.1,-0.4,1.972,1
0.1,-0.3,0,0
0.1,-0.2,0,0
0.1,-0.1,0,0
0.1,0,0,0
0.1,0.1,0,0
0.1,0.2,0,0
0.1,0.3,0,0
0.1,0.4,0,0
0.1,0.5,0,0
0.1,0.6,0,0
0.1,0.7,0,0
0.1,0.8,0,0
0.1,0.9,0,0
0.1,1,0,0
0.1,1.1,0,0
0.1,1.2,0,0
0.1,1.3,1.822,1
0.1,1.4,0,0
0.1,1.5,0,0
0.1,1.6,0,0
0.1,1.7,1.396,1
0.1,1.8,1.319,1
0.1,1.9,1.25,1
0.1,2,1.188,1
0.2,-2,0,0
0.2,-1.9,0.423,1
0.2,-1.8,0.446,1
0.2,-1.7,0,0
0.2,-1.6,0,0
0.2,-1.5,0.533,1
0.2,-1.4,0,0
0.2,-1.3,0.614,1
0.2,-1.2,0.664,1
0.2,-1.1,0.724,1
0.2,-1,0.795,1
0.2,-0.9,0.883,1
0.2,-0.8,0.993,1
0.2,-0.7,1.132,1
0.2,-0.6,1.319,1
0.2,-0.5,1.58,1
0.2,-0.4,1.973,1
0.2,-0.3,0,0
0.2,-0.2,0,0
0.2,-0.1,0,0
0.2,0,0,0
0.2,0.1,0,0
0.2,0.2,0,0
0.2,0.3,0,0
0.2,0.4,0,0
0.2,0.5,0,0
0.2,0.6,0,0
0.2,0.7,0,0
0.2,0.8,0,0
0.2,0.9,0,0
0.2,1,0,0
0.2,1.1,0,0
0.2,1.2,0,0
0.2,1.3,1.822,1
0.2,1.4,0,0
0.2,1.5,0,0
0.2,1.6,0,0
0.2,1.7,1.396,1
0.2,1.8,1.319,1
0.2,1.9,1.25,1
0.2,2,1.188,1
0.3,-2,1.973,1
0.3,-1.9,0.423,1
0.3,-1.8,0.446,1
0.3,-1.7,0,0
0.3,-1.6,0,0
0.3,-1.5,0.533,1
0.3,-1.4,0,0
0.3,-1.3,0.614,1
0.3,-1.2,0.664,1
