a,w,t
-1,1.6,1.495
-1,1.7,1.495
-1,1.8,1.495
-1,1.9,1.495
-1,2,1.496
-0.9,-2,1.599
-0.9,-1.9,1.602
-0.9,-1.8,1.603
-0.9,-1.7,1.604
-0.9,-1.6,1.605
-0.9,-1.5,1.606
-0.9,-1.4,1.606
-0.9,-1.3,1.606
-0.9,-1.2,1.606
-0.9,-1.1,1.606
-0.9,-1,1.607
-0.9,-0.9,1.607
-0.9,-0.8,1.606
-0.9,-0.7,1.606
-0.9,-0.6,1.607
-0.9,-0.5,1.607
-0.9,-0.4,1.607
-0.9,-0.3,1.606
-0.9,-0.2,1.606
-0.9,-0.1,1.606
-0.9,0,1.606
-0.9,0.1,1.605
-0.9,0.2,1.605
-0.9,0.3,1.604
-0.9,0.4,1.603
-0.9,0.5,1.602
-0.9,0.6,1.598
-0.9,0.7,1.582
-0.9,0.8,1.424
-0.9,0.9,1.256
-0.9,1,1.603
-0.9,1.1,1.016
-0.9,1.2,1.605
-0.9,1.3,1.605
-0.9,1.4,1.606
-0.9,1.5,1.606
-0.9,1.6,1.606
-0.9,1.7,1.606
-0.9,1.8,1.606
-0.9,1.9,1.606
-0.9,2,1.606
-0.8,-2,1.641
-0.8,-1.9,1.717
-0.8,-1.8,1.735
-0.8,-1.7,1.739
-0.8,-1.6,1.741
-0.8,-1.5,1.743
-0.8,-1.4,1.744
-0.8,-1.3,1.744
-0.8,-1.2,1.744
-0.8,-1.1,1.745
-0.8,-1,1.745
-0.8,-0.9,1.745
-0.8,-0.8,1.745
-0.8,-0.7,1.745
-0.8,-0.6,1.745
-0.8,-0.5,1.745
-0.8,-0.4,1.745
-0.8,-0.3,1.745
-0.8,-0.2,1.745
-0.8,-0.1,1.745
-0.8,0,1.744
-0.8,0.1,1.744
-0.8,0.2,1.743
-0.8,0.3,1.742
-0.8,0.4,1.741
-0.8,0.5,1.738
-0.8,0.6,1.727
-0.8,0.7,1.56
-0.8,0.8,1.739
-0.8,0.9,1.184
-0.8,1,1.743
-0.8,1.1,1.744
-0.8,1.2,1.744
-0.8,1.3,1.744
-0.8,1.4,1.745
-0.8,1.5,1.745
-0.8,1.6,1.744
-0.8,1.7,1.744
-0.8,1.8,1.743
-0.8,1.9,1.743
-0.8,2,1.743
-0.7,-2,1.554
-0.7,-1.9,1.918
-0.7,-1.8,1.749
-0.7,-1.7,1.86
-0.7,-1.6,1.91
-0.7,-1.5,1.916
-0.7,-1.4,1.919
-0.7,-1.3,1.92
-0.7,-1.2,1.921
-0.7,-1.1,1.922
-0.7,-1,1.923
-0.7,-0.9,1.923
-0.7,-0.8,1.923
-0.7,-0.7,1.923
-0.7,-0.6,1.923
-0.7,-0.5,1.923
-0.7,-0.4,1.923
-0.7,-0.3,1.923
-0.7,-0.2,1.923
-0.7,-0.1,1.923
-0.7,0,1.923
-0.7,0.1,1.922
-0.7,0.2,1.921
-0.7,0.3,1.92
-0.7,0.4,1.917
-0.7,0.5,1.91
-0.7,0.6,1.749
-0.7,0.7,1.469
-0.7,0.8,1.92
-0.7,0.9,1.921
-0.7,1,1.922
-0.7,1.1,1.922
-0.7,1.2,1.922
-0.7,1.3,0.698
-0.7,1.4,1.922
-0.7,1.5,1.922
-0.7,1.6,1.921
-0.7,1.7,1.921
-0.7,1.8,1.921
-0.7,1.9,1.921
-0.7,2,1.921
-0.6,-2,2.159
-0.6,-1.9,2.158
-0.6,-1.8,2.157
-0.6,-1.7,2.156
-0.6,-1.6,2.155
-0.6,-1.5,2.022
-0.6,-1.4,2.139
-0.6,-1.3,2.153
-0.6,-1.2,2.156
-0.6,-1.1,2.158
-0.6,-1,2.159
-0.6,-0.9,2.16
-0.6,-0.8,2.161
-0.6,-0.7,2.161
-0.6,-0.6,2.161
-0.6,-0.5,2.161
-0.6,-0.4,2.161
-0.6,-0.3,2.161
-0.6,-0.2,2.161
-0.6,-0.1,2.16
-0.6,0,2.16
-0.6,0.1,2.159
-0.6,0.2,2.158
-0.6,0.3,2.156
-0.6,0.4,2.151
-0.6,0.5,2.02
-0.6,0.6,2.154
-0.6,0.7,2.157
-0.6,0.8,2.159
-0.6,0.9,2.16
-0.6,1,2.16
-0.6,1.1,2.16
-0.6,1.2,2.16
-0.6,1.3,2.159
-0.6,1.4,2.159
-0.6,1.5,2.159
-0.6,1.6,2.159
-0.6,1.7,2.158
-0.6,1.8,2.158
-0.6,1.9,2.158
-0.6,2,2.157
-0.5,-2,2.491
-0.5,-1.9,2.492
-0.5,-1.8,2.492
-0.5,-1.7,2.491
-0.5,-1.6,2.49
-0.5,-1.5,2.489
-0.5,-1.4,2.488
-0.5,-1.3,2.218
-0.5,-1.2,2.434
-0.5,-1.1,2.484
-0.5,-1,2.489
-0.5,-0.9,2.491
-0.5,-0.8,2.492
-0.5,-0.7,2.493
-0.5,-0.6,2.493
-0.5,-0.5,2.494
-0.5,-0.4,2.494
-0.5,-0.3,2.494
-0.5,-0.2,2.494
-0.5,-0.1,2.493
-0.5,0,2.491
-0.5,0.1,2.492
-0.5,0.2,2.49
-0.5,0.3,2.486
-0.5,0.4,2.422
-0.5,0.5,2.486
-0.5,0.6,2.49
-0.5,0.7,2.492
-0.5,0.8,2.493
-0.5,0.9,2.493
-0.5,1,2.493
-0.5,1.1,2.493
-0.5,1.2,2.493
-0.5,1.3,2.492
-0.5,1.4,2.491
-0.5,1.5,2.49
-0.5,1.6,2.49
-0.5,1.7,2.489
-0.5,1.8,2.487
-0.5,1.9,2.48
-0.5,2,2.438
-0.4,-2,2.987
-0.4,-1.9,2.989
-0.4,-1.8,2.991
-0.4,-1.7,2.99
-0.4,-1.6,1.479
-0.4,-1.5,2.989
-0.4,-1.4,2.99
-0.4,-1.3,2.99
-0.4,-1.2,2.988
-0.4,-1.1,2.463
-0.4,-1,2.78
-0.4,-0.9,2.979
-0.4,-0.8,2.988
-0.4,-0.7,2.991
-0.4,-0.6,2.992
-0.4,-0.5,2.993
-0.4,-0.4,2.993
-0.4,-0.3,2.993
-0.4,-0.2,2.993
-0.4,-0.1,2.993
-0.4,0,2.992
-0.4,0.1,2.99
-0.4,0.2,2.987
-0.4,0.3,2.966
-0.4,0.4,2.985
-0.4,0.5,2.989
-0.4,0.6,2.991
-0.4,0.7,2.992
-0.4,0.8,2.993
-0.4,0.9,2.993
-0.4,1,2.993
-0.4,1.1,2.992
-0.4,1.2,2.989
-0.4,1.3,2.988
-0.4,1.4,2.986
-0.4,1.5,2.98
-0.4,1.6,2.925
-0.4,1.7,2.716
-0.4,1.8,2.987
-0.4,1.9,2.989
-0.4,2,2.99
-0.3,-2,3.821
-0.3,-1.9,3.82
-0.3,-1.8,3.417
-0.3,-1.7,3.682
-0.3,-1.6,3.811
-0.3,-1.5,3.818
-0.3,-1.4,3.82
-0.3,-1.3,3.821
-0.3,-1.2,3.822
-0.3,-1.1,3.822
-0.3,-1,3.821
-0.3,-0.9,3.82
-0.3,-0.8,3.817
-0.3,-0.7,3.792
-0.3,-0.6,3.819
-0.3,-0.5,3.823
-0.3,-0.4,3.824
-0.3,-0.3,3.823
-0.3,-0.2,3.825
-0.3,-0.1,3.825
-0.3,0.1,3.821
-0.3,0.2,3.81
-0.3,0.3,2.793
-0.3,0.4,3.822
-0.3,0.5,3.824
-0.3,0.6,3.825
-0.3,0.7,3.825
-0.3,0.8,3.821
-0.3,0.9,3.82
-0.3,1,3.819
-0.3,1.1,3.814
-0.3,1.2,3.735
-0.3,1.3,3.367
-0.3,1.4,3.045
-0.3,1.5,3.821
-0.3,1.6,3.821
-0.3,1.7,3.822
-0.3,1.8,3.82
-0.3,1.9,3.82
-0.3,2,3.816
-0.2,-2,5.484
-0.2,-1.9,4.826
-0.2,-1.8,5.204
-0.2,-1.7,5.471
-0.2,-1.6,5.482
-0.2,-1.5,5.485
-0.2,-1.4,5.486
-0.2,-1.3,5.484
-0.2,-1.2,4.876
-0.2,-1.1,5.445
-0.2,-1,5.48
-0.2,-0.9,5.483
-0.2,-0.8,5.485
-0.2,-0.7,5.487
-0.2,-0.6,5.484
-0.2,-0.5,5.066
-0.2,-0.4,5.482
-0.2,-0.3,5.488
-0.2,-0.2,5.49
-0.2,-0.1,5.489
-0.2,0,5.488
-0.2,0.1,5.479
-0.2,0.2,5.478
-0.2,0.3,5.487
-0.2,0.4,5.489
-0.2,0.5,5.489
-0.2,0.6,5.485
-0.2,0.7,5.48
-0.2,0.8,5.355
-0.2,0.9,4.549
-0.2,1,5.484
-0.2,1.1,5.485
-0.2,1.2,5.482
-0.2,1.3,5.479
-0.2,1.4,5.464
-0.2,1.5,5.073
-0.2,1.6,5.482
-0.2,1.7,5.484
-0.2,1.8,5.482
-0.2,1.9,5.481
